config,n_vlinks,scheme,n_fabrics,bw,jitdef,delays_max,delays_mean,jitters_max,jitters_mean,time,rate,size_factor,smax_max,smax_mean,bw_min,bw_max,bw_mean,bw_var,bw_min_orig,bw_max_orig,bw_mean_orig,bw_var_orig,error,times_calc,topology,config_id,config_dir
"6s-54e-3L_final_vls_1",500,cioq,8,0.025,0,2718.3333333333335,1631.402333333333,2715.0,1628.8703333333337,0.066904,125000,3.3480648185348874,5082,3039.996,0.000503,0.024996,0.007135,0.004955,0.00015,0.007467,0.002131,0.00148,"",1,"6s-54e-3L",1,"vlconfigs/msggen2"
"6s-54e-3L_final_vls_2",500,cioq,8,0.025,0,1367.0,775.9333333333333,1363.6666666666667,773.3913333333337,0.0665,125000,1.5587978550941515,2339,1440.46,0.000161,0.02499,0.003806,0.003335,0.000103,0.016038,0.002442,0.00214,"",1,"6s-54e-3L",2,"vlconfigs/msggen2"
"6s-54e-3L_final_vls_3",499,cioq,8,0.025,0,1872.6666666666667,839.0374081496323,1867.6666666666667,836.4919839679361,0.080085,125000,1.6154044972861206,2448,1510.0801603206412,4.1e-05,0.02499,0.003861,0.003202,2.5e-05,0.015476,0.002391,0.001983,"",1,"6s-54e-3L",3,"vlconfigs/msggen2"
"diamond-48e-4L_final_vls_1",500,cioq,8,0.025,0,2689.3333333333335,1446.0686666666668,2686.0,1443.698666666667,0.079449,125000,2.3645133831457485,3589,2159.732,0.001134,0.024993,0.006946,0.004514,0.00048,0.010573,0.002938,0.00191,"",1,"diamond-48e-4L",1,"vlconfigs/msggen2"
"diamond-48e-4L_final_vls_2",499,cioq,8,0.025,0,2303.3333333333335,1149.6636606546422,2299.6666666666665,1147.2939211756852,0.075385,125000,1.8417562988065421,2788,1673.1342685370741,0.000795,0.02499,0.005562,0.004769,0.000432,0.013574,0.003021,0.002591,"",1,"diamond-48e-4L",2,"vlconfigs/msggen2"
"diamond-48e-4L_final_vls_3",500,cioq,8,0.025,0,1976.6666666666667,997.1766666666671,1972.3333333333333,994.779,0.08262,125000,1.6446286428524441,2486,1498.088,0.000751,0.024992,0.005637,0.004921,0.000457,0.015201,0.003429,0.002993,"",1,"diamond-48e-4L",3,"vlconfigs/msggen2"
"double_reserve_mod-48e-6L_final_vls_1",500,cioq,8,0.025,0,2851.6666666666665,1720.364666666666,2847.6666666666665,1716.9336666666666,0.104866,125000,2.3645133831457485,3589,2159.732,0.000345,0.024993,0.005535,0.004229,0.000146,0.010573,0.002341,0.001789,"",1,"double_reserve_mod-48e-6L",1,"vlconfigs/msggen2"
"double_reserve_mod-48e-6L_final_vls_2",499,cioq,8,0.025,0,2454.3333333333335,1349.8470273881098,2450.0,1346.4468937875745,0.088814,125000,1.8778637422068656,2850,1729.5050100200401,,0.024989,0.004759,0.003862,,0.013313,0.002535,0.002057,"",1,"double_reserve_mod-48e-6L",2,"vlconfigs/msggen2"
"double_reserve_mod-48e-6L_final_vls_3",500,cioq,8,0.025,0,3426.0,2006.409,3421.0,2002.9586666666664,0.094759,125000,2.717686705076639,4114,2501.798,0.000389,0.024993,0.00667,0.004662,0.000143,0.009199,0.002455,0.001716,"",1,"double_reserve_mod-48e-6L",3,"vlconfigs/msggen2"
"2s-4e_final_vls_1",500,cioq,16,0.025,0,2379.0,1835.6513333333332,2377.0,1833.4763333333344,0.239941,125000,0.3706064604118179,560,385.85,0.012674,0.024969,0.019662,0.005347,0.034243,0.067457,0.05312,0.014445,"",1,"2s-4e",1,"vlconfigs/msggen1"
